bnum,wt_t00,wt_t00.1,wt_t00.2,wt_t10,wt_t10.1,wt_t10.2,wt_t10_riff,wt_t10_riff.1,wt_t10_riff.2,wt_t30,wt_t30.1,wt_t30.2,wt_t30_riff,wt_t30_riff.1,wt_t30_riff.2,wt_t60,wt_t60.1,wt_t60.2,wt_t60_riff,wt_t60_riff.1,wt_t60_riff.2,ppk_delta_t00,ppk_delta_t00.1,ppk_delta_t00.2,ppk_delta_t10,ppk_delta_t10.1,ppk_delta_t10.2,ppk_delta_t10_riff,ppk_delta_t10_riff.1,ppk_delta_t10_riff.2,ppk_delta_t30,ppk_delta_t30.1,ppk_delta_t30.2,ppk_delta_t30_riff,ppk_delta_t30_riff.1,ppk_delta_t30_riff.2,ppk_delta_t60,ppk_delta_t60.1,ppk_delta_t60.2,ppk_delta_t60_riff,ppk_delta_t60_riff.1,ppk_delta_t60_riff.2
b0001,1.2305666523978112e-06,4.268952256384185e-06,3.4376072865698913e-06,1.359380780249876e-06,7.281265651984777e-06,1.8400239368773175e-06,8.375048615535586e-07,3.4604349094566412e-06,1.1244407464474176e-06,1.9854897758583327e-07,1.7932227705530473e-06,3.6331958483286344e-06,1.049386417803114e-06,0.0,1.009163533188511e-06,4.5465903247511216e-06,4.312214423207281e-06,4.236132547320355e-06,2.0200267664993235e-07,9.263911456476406e-07,0.0,1.0754912259093747e-05,1.6517227718618828e-05,3.300737102353427e-05,1.808406388381333e-05,0.0,1.8060159561187176e-05,2.078963321473301e-06,5.039345226798587e-06,2.5133717461787394e-06,1.0788126403137681e-05,0.0,1.8663656582800384e-05,2.296912051632473e-06,0.0,0.0,8.47081168086444e-06,8.443822511944837e-05,1.1857303471395095e-05,0.0,0.0,0.0
b0002,0.00045860440435971627,0.0019049378491757041,0.0017506015106857056,0.0005268086016603679,0.0028591103126793167,0.001943371947998552,0.0004991528974858516,0.0008483009006610324,0.0008179181989657947,1.596333779790094e-05,0.0018177301484172354,0.001408468923868713,0.00022488350933520563,0.00041181223993042796,0.000343115601284035,0.0012277688289463156,0.0017729361585700832,0.0018337747115954389,0.00014756295529277062,0.00024425846540241785,0.0002022110663179588,0.006518193823161176,0.009638719997576003,0.008389123412640207,0.008725108722342504,0.0004607867933147588,0.008618154439112851,0.0022134029495951245,0.0036938400512430488,0.0023964999599814193,0.007719138965931719,0.009655177452622772,0.00601885317572089,0.00024138457560784695,0.0008058016212794291,0.00036757442547044036,0.007028655992197016,0.011855126806769782,0.006351017062799329,7.725926482459602e-05,0.0001982299397158314,0.00010195083972154544
b0003,0.00014076094675491066,0.0006945256940193229,0.0006252148252448239,0.00016696108940280455,0.0007681735262843556,0.0007077958743854616,0.00025013478531727155,0.0004765513218165983,0.00043763233851731837,5.718210554472004e-06,0.0006616992023340386,0.0004868482436759397,0.00011039545115283479,0.00027694373135321907,0.00019275023483896828,0.00037300984789311633,0.0006911863689768529,0.0006370672669775332,0.00010362737312140454,0.00017416153538170228,0.00013821028222123612,0.0020957739022218875,0.004000839602954095,0.0027201074393484784,0.003059371507543889,0.00020279753020534892,0.0025414871348440745,0.0010613107756119325,0.0017688101746061895,0.0009902684679943406,0.0024348332242907235,0.0035436555544198344,0.0018047403771101408,0.00011943942668488898,0.00018960038147762285,0.00012497530465995998,0.0028821936744139907,0.00481297883180827,0.0019290606130358844,3.422878821342866e-05,2.4778742464478965e-05,4.413963558825533e-05
b0004,0.00010122403108429828,0.00034447160899587207,0.00034762803685427554,0.00011006129388662295,0.00045022492614751013,0.00035205791325580715,0.0001820177232442673,0.00022344522558201724,0.0002433289775311664,3.534171801027833e-06,0.0003287575079346768,0.00024826838296909524,8.174720194684935e-05,0.00014310475337579002,0.0001296775140146577,0.00022448789728456966,0.0003080153159433128,0.00035842388164259196,6.231782574648386e-05,8.862475293359076e-05,9.070049770769672e-05,0.001346515014838511,0.001514996831302147,0.00155209660562918,0.0015669841355324128,7.957877767550121e-05,0.001635020828358242,0.0007030360965448348,0.0008314919624214826,0.0007062574606760436,0.0014066778731741717,0.0017461491137720922,0.0010993950160660627,0.00010711962568067833,0.0005214010490633904,8.821786211291297e-05,0.0012346208024858396,0.0015874386322452534,0.0010332208921453123,3.422878821342866e-05,0.00014867245478687355,3.515546197294676e-05
b0005,4.366526831088991e-07,3.2838094279878273e-07,1.074252277053089e-06,2.4274656790176384e-07,6.06772137665398e-06,3.066706561462202e-07,2.7916828718451926e-07,0.0,1.3493288957369005e-06,7.941959103433341e-08,5.977409235176834e-07,2.422130565552423e-06,3.1481592534093367e-07,0.0,1.009163533188511e-06,5.683237905938899e-07,1.848091895660267e-06,9.413627882934116e-07,7.070093682747629e-07,0.0,0.0,4.540962953839582e-06,9.176237621454913e-07,1.20026803721943e-05,8.58993034481132e-06,1.28352867218604e-06,1.114350270796657e-05,5.890396077507681e-06,2.5196726133992938e-05,1.2566858730893716e-06,4.690489740494659e-06,0.0,7.042889276528445e-06,0.0,0.0,0.0,0.0,6.755058009555878e-05,5.724215468949369e-06,0.0,0.0,1.171848732431557e-06
b0006,9.169706345286926e-06,2.331504693871363e-05,3.716912878603683e-05,9.661313402490216e-06,6.067721376653981e-05,3.434711348837672e-05,1.2562572923303342e-05,9.392609039953738e-06,1.574217045026386e-05,4.7651754620600045e-07,1.7932227705530474e-05,2.5432370938300465e-05,5.35187073079588e-06,6.43456624891348e-06,4.0366541327540625e-06,2.4248481732005996e-05,1.4784735165282135e-05,2.5652135980995474e-05,2.0200267664993234e-06,1.8527822912952813e-06,1.9632142360973348e-06,8.580030002254789e-05,0.00010827960393316804,0.00011027462591953511,9.132452261325726e-05,8.984700705302304e-06,0.0001287266692127171,3.9153809221080453e-05,5.0393452267985876e-05,6.157760778137927e-05,7.692403174411206e-05,0.00035950128812958467,0.00010317832790114168,8.770027833505837e-06,2.3700047684702856e-05,7.351488509409428e-06,7.623730512777985e-05,0.00018576409526278623,9.036082990270074e-05,2.4449134438163333e-06,0.0,5.46862741801394e-06
b0007,7.145225723600187e-06,2.856914202349418e-05,3.5235474687341345e-05,7.962087427177872e-06,4.6114682462570295e-05,3.5880466769107803e-05,7.537543753982027e-06,1.2853043949410397e-05,2.0239933436053574e-05,1.5883918206866683e-07,1.9127709552565875e-05,3.754302376606258e-05,6.2963185068186524e-06,6.43456624891348e-06,4.0366541327540625e-06,1.667083119075408e-05,1.4784735165282135e-05,2.3769410404408695e-05,4.040053532998647e-06,5.24954982533663e-06,9.03078548604773e-06,5.0667586642841694e-05,4.9551683155856456e-05,7.801742241926281e-05,7.504886511782506e-05,2.5670573443720853e-06,8.031007124017269e-05,2.8758992613714075e-05,6.0472142721583046e-05,4.272731968503859e-05,5.018824022329267e-05,0.00010271465375130998,7.218961508441665e-05,5.846685222337224e-06,2.3700047684702856e-05,2.940595403763766e-05,6.353108760648339e-05,0.00016887645023889674,6.133088002445726e-05,4.889826887632667e-06,2.4778742464478965e-05,5.46862741801394e-06
b0008,6.676816481718329e-05,0.00023183694561584143,0.0002339721459420553,7.413480183719097e-05,0.00030459961310796643,0.0002177361658637684,0.00011557567089437658,0.00013347391793616846,0.00016304390823486742,2.5017171175815e-06,0.00018589742721392995,0.00017560446600247635,5.603723471065522e-05,6.22866012894484e-05,6.509104789065926e-05,0.00016803440075220257,0.00019096949588488863,0.00023275194940552044,2.9492390790890145e-05,3.1188501903470547e-05,2.9448213541459976e-05,0.0009975778615434379,0.0010460910888456902,0.001291038307534091,0.0011813414732097397,6.674349095362883e-05,0.0015850671955296017,0.0006448251235434064,0.0009625149383184295,0.0007879420424269426,0.0010910079136389572,0.002054293075025991,0.0012620857583538134,0.00013280327862165973,0.00040290081063994903,0.00010292083913173194,0.0007793146746394527,0.0015705509872213587,0.0011133599087106377,5.378809576395933e-05,0.00014867245478687355,5.078011173870087e-05
b0009,5.8749633727379455e-06,1.2806856769152546e-05,1.7188036432849375e-05,5.923016256803058e-06,3.276569543393157e-05,8.893449028240405e-06,6.979207179612985e-06,4.44913059787282e-06,5.172427433658117e-06,1.9854897758583327e-07,8.368372929247574e-06,1.0899587544985902e-05,2.4135887609471585e-06,2.059061199652311e-06,7.568726498913865e-06,1.6481389927222787e-05,1.786488832471587e-05,1.81212336746482e-05,9.090120449246933e-07,9.263911456476406e-07,1.177928541658399e-06,6.309548525334985e-05,5.5975049490874966e-05,6.97655796633792e-05,8.318669386554137e-05,2.5670573443720853e-06,7.915729509796927e-05,2.0443139327820806e-05,3.0236071360791523e-05,4.775406317739618e-05,5.1126338171391604e-05,0.0,6.479458134406152e-05,8.35240746048175e-06,0.0,1.470297701881883e-05,2.5412435042593285e-05,0.00016887645023889674,5.8877644823479184e-05,3.4228788213428663e-06,4.955748492895785e-05,7.42170863873319e-06
b0010,1.2146883730120319e-05,4.958552236261622e-05,5.543141749593941e-05,1.5924174854355697e-05,0.00011650025043175654,5.949410729236694e-05,2.763766043126745e-05,2.768347927565309e-05,5.2623826933739184e-05,5.559371372403334e-07,3.825541910513175e-05,4.117621961439115e-05,2.2351930699206325e-05,2.5995647645610407e-05,3.6834468961380796e-05,3.1068367219132647e-05,2.8337409066790674e-05,5.153961265906436e-05,2.2018291754842617e-05,3.3658878291864294e-05,4.162014180526342e-05,9.129725517719589e-05,0.0001238792078896414,0.00017703953548986573,0.00012432793920121653,8.984700705302304e-06,0.00018213863046814287,7.865411232907315e-05,8.566886885557617e-05,8.294126762389856e-05,0.00012289083120095972,0.0002054293075026194,0.00013346275179021414,3.2156768722854755e-05,0.0,1.470297701881883e-05,0.00011859136353210187,0.0007599440260750361,0.00014228764165674125,2.2004220994347e-05,9.91149698579157e-05,4.1014705635104476e-05
