,bnum,condition,base_abundance,halflife_minutes,gene_name
0,b4081,wt_plusrif,4.964497132160859e-06,11.842162074585534,mdtO
1,b3011,wt_plusrif,0.00011288203634894487,23.29520915511522,yqhD
2,b3263,wt_plusrif,7.779368012523521e-07,20.842977039506643,yhdU
3,b1741,wt_plusrif,1.2825858806489682e-05,40.22716713230609,cho
4,b2694,wt_plusrif,5.27415032466613e-06,20.631966933917678,argV
5,b3410,wt_plusrif,2.1039220144078805e-05,45.22163761023414,feoC
6,b3843,wt_plusrif,0.0002264137111400753,24.590660608302553,ubiD
7,b1573,wt_plusrif,1.7369814884826038e-06,9.983986146313407,ydfC
8,b3384,wt_plusrif,0.0001590877580330135,31.4235060885483,trpS
9,b3930,wt_plusrif,1.946154609476588e-05,24.81305851300865,menA
10,b2102,wt_plusrif,1.0972181469265478e-05,43.08774431211333,yegX
11,b2331,wt_plusrif,1.768431694762879e-05,26.393013206952116,smrB
12,ERCC-00034,wt_plusrif,1.5066206475619047e-05,467.63050209482424,unknown
13,b3573,wt_plusrif,2.8382435262532585e-06,25.07603345923516,ysaA
14,b1722,wt_plusrif,1.1630214237780899e-05,81.87231780984897,ydiY
15,b0683,wt_plusrif,0.00013788281724109276,32.30329260387658,fur
16,b2347,wt_plusrif,3.408535980793323e-05,34.290584258173965,yfdC
17,b2576,wt_plusrif,4.235369872828947e-05,25.51731967572631,srmB
18,b3078,wt_plusrif,1.7343402272249889e-06,32.982198227148025,ygjI
19,b1056,wt_plusrif,1.887075800944242e-05,50.113986308005565,yceI
20,b2582,wt_plusrif,6.202441208810305e-05,13.328034881612448,trxC
21,b0458,wt_plusrif,2.1103585880719988e-05,45.0288032692226,ylaC
22,b0865,wt_plusrif,5.9670754104427343e-05,8.929655496902406,ybjP
23,b3919,wt_plusrif,0.00019158739796561858,10.621538930198115,tpiA
24,b0731,wt_plusrif,2.7090808717710924e-06,28.34369734495477,mngA
25,b0739,wt_plusrif,0.00011464513207158384,70.86215583085166,tolA
26,b4743,wt_plusrif,1.8647742348244841e-06,59.46852829329317,ynaL
27,b3315,wt_plusrif,9.244662835976518e-05,101.07827568851319,rplV
28,b3985,wt_plusrif,0.00026875030840037544,84.63990711448254,rplJ
29,b2318,wt_plusrif,8.966817695442076e-05,40.36277567621644,truA
30,b4655,wt_plusrif,8.308564354594485e-07,20.90614989105949,ythA
31,b3062,wt_plusrif,4.7218063095957514e-07,150.3561406225128,ttdB
32,b2937,wt_plusrif,6.0781504769751814e-05,24.581795779217604,speB
33,b0560,wt_plusrif,4.0636324758165005e-06,24.355597748153894,nohD
34,b2054,wt_plusrif,1.0190404582394968e-06,16.06976085666707,wcaF
35,b3565,wt_plusrif,6.139559235899983e-05,25.884126652550826,xylA
36,b3876,wt_plusrif,7.3921950121319206e-06,134.2948872916082,yihO
37,b2508,wt_plusrif,0.0006489619401874794,17.334214687738147,guaB
38,b2308,wt_plusrif,0.00010847226511574221,655325.7395989397,hisQ
39,b0197,wt_plusrif,0.00021182270745450846,30.770502410035405,metQ
40,b4550,wt_plusrif,6.977554930879237e-06,49.98508313292354,arfA
41,b0883,wt_plusrif,1.8036442390033958e-06,125.70226674169069,serW
42,b2385,wt_plusrif,1.5180458272769182e-06,79.55056480570956,ypdF
43,b0708,wt_plusrif,1.3838086211523731e-05,61.077375744744735,phr
44,b0135,wt_plusrif,2.5189414581269016e-06,48.596511392108695,yadC
45,b4594,wt_plusrif,8.767021449711871e-07,16.93089313096068,ymgJ
46,b1876,wt_plusrif,0.00012967895301365252,21.968525634004823,argS
47,b4148,wt_plusrif,1.045016276070094e-05,26.875073200047034,gdx
48,b4162,wt_plusrif,4.4456978809297255e-05,19.42816748276153,orn
49,b4013,wt_plusrif,0.00011071771630601898,21.722232202318157,metA
50,b0003,wt_plusrif,0.00048540094722274656,39.80889005032298,thrB
51,b1959,wt_plusrif,4.239913368165603e-06,26.0625117047874,yedA
52,b0922,wt_plusrif,6.400064428359187e-05,35.77330167951955,mukF
53,b1102,wt_plusrif,0.00011630664297414797,71.74364252353769,fhuE
54,b1872,wt_plusrif,1.5468867491243768e-05,15.531298442499198,torZ
55,b2381,wt_plusrif,4.453398217589723e-05,26.581149291577052,pyrR
56,b3325,wt_plusrif,1.0559472443369292e-05,93.58045060039447,gspD
57,b4141,wt_plusrif,3.9324970857404166e-05,40.749772999188245,yjeH
58,b4466,wt_plusrif,2.808141110955315e-05,20.93331990131326,unknown
59,b1037,wt_plusrif,5.794190993908846e-06,88.36053270756734,csgG
60,b2963,wt_plusrif,1.2483498649057593e-05,84.32860512078192,mltC
61,b1820,wt_plusrif,9.037789831439034e-07,60.36040909257248,yobD
62,b0584,wt_plusrif,9.895651643349644e-05,43.20928276561573,fepA
63,b0745,wt_plusrif,1.579056526598183e-06,37.131105135873845,lysW
64,b0364,wt_plusrif,5.74630466758936e-07,690.3613240130541,yaiS
65,b0783,wt_plusrif,0.00010254868566426302,43.434778327559584,moaC
66,b0901,wt_plusrif,4.994314692360226e-07,48.43642368129174,ycaK
67,b1616,wt_plusrif,2.292528145641233e-06,23.62278879409434,uidB
68,b2136,wt_plusrif,2.885182164828072e-05,10.061458070443408,yohD
69,b2388,wt_plusrif,5.0603397670164834e-05,30.216441665517067,glk
70,b2428,wt_plusrif,7.031727608556948e-06,25.1118509258575,murQ
71,b2779,wt_plusrif,0.000438852598148621,34.747670162577336,eno
72,b3350,wt_plusrif,7.567495353555372e-05,48.42093928377811,kefB
73,b0921,wt_plusrif,8.126393928643338e-05,20.51901809080551,cmoM
74,b2904,wt_plusrif,3.3907498510894856e-05,32.514363474847244,gcvH
75,b4784,wt_plusrif,3.667098072723054e-06,20440.201223687698,yqgG
76,b4630,wt_plusrif,3.004112657625499e-08,20.003206373205177,ykgP
77,b1617,wt_plusrif,8.598037043235129e-06,17.61347232225508,uidA
78,b3583,wt_plusrif,1.1375760491666077e-05,19.667760335514288,sgbE
79,b0784,wt_plusrif,2.7924425015264708e-05,44.28558460815765,moaD
80,b4495,wt_plusrif,1.1874396578239174e-06,55.22123265734476,unknown
81,b3208,wt_plusrif,2.719270334496455e-05,17.30132036237879,mtgA
82,b0417,wt_plusrif,1.3505928183806699e-05,202.80561010875115,thiL
83,ERCC-00017,wt_plusrif,3.9313135954286975e-07,2520.028927547533,unknown
84,b0392,wt_plusrif,7.801778132382592e-06,26.691167761167833,ykiA
85,b1085,wt_plusrif,5.284670373226e-05,12.774717014437169,yceQ
86,b4752,wt_plusrif,1.1420874172687054e-07,600.0090432931947,yecU
87,b1074,wt_plusrif,9.387435968995606e-07,27.032913382141597,flgC
88,b1659,wt_plusrif,1.8052582115726047e-05,13.64017097262197,ydhB
89,b0232,wt_plusrif,1.1563216318409114e-05,20.807320223725373,yafN
90,b4259,wt_plusrif,1.061838877611344e-05,22.442667634489425,holC
91,b0996,wt_plusrif,2.00163679510685e-05,177.14734388170294,torC
92,b1466,wt_plusrif,5.12451424531397e-05,60.294673231178045,narW
93,b2299,wt_plusrif,2.6708681755443765e-05,27.065460332768456,yfcD
94,b3549,wt_plusrif,3.210646201656572e-05,31.78537500196888,tag
95,b1353,wt_plusrif,5.017392534933573e-07,88.85218968122635,sieB
96,b4233,wt_plusrif,0.00011416588267962549,16.96136945065048,mpl
97,b2896,wt_plusrif,1.2663771399727799e-05,22.16632376081997,ygfX
98,b4558,wt_plusrif,2.113061666726786e-05,11.93454687632537,yifL
99,b0818,wt_plusrif,1.5419864249031626e-05,32.37765101179743,ybiR
100,unknown,wt_plusrif,1.5559180810105316e-05,40.24454579239731,unknown
101,b1348,wt_plusrif,8.432123174801926e-07,33.616262362891646,ralR
102,b2315,wt_plusrif,2.8207131457317626e-05,57.713952518172306,folC
103,b1378,wt_plusrif,0.0013502889034372322,43.725311378436565,ydbK
104,b2590,wt_plusrif,5.033424926290446e-06,51.95707710078731,gltW
105,b1698,wt_plusrif,8.309705265863418e-06,28.789652424514497,ydiR
106,b4528,wt_plusrif,3.981270893864427e-06,60.92567027052751,rzoR
107,b2957,wt_plusrif,7.349001662216768e-06,36.88082347218075,ansB
108,b3779,wt_plusrif,5.779484857171848e-05,37.01426816484741,gpp
