"","wt_t00","wt_t00","wt_t00","wt_t10","wt_t10","wt_t10","wt_t10_riff","wt_t10_riff","wt_t10_riff","wt_t30","wt_t30","wt_t30","wt_t30_riff","wt_t30_riff","wt_t30_riff","wt_t60","wt_t60","wt_t60","wt_t60_riff","wt_t60_riff","wt_t60_riff","ppk_delta_t00","ppk_delta_t00","ppk_delta_t00","ppk_delta_t10","ppk_delta_t10","ppk_delta_t10","ppk_delta_t10_riff","ppk_delta_t10_riff","ppk_delta_t10_riff","ppk_delta_t30","ppk_delta_t30","ppk_delta_t30","ppk_delta_t30_riff","ppk_delta_t30_riff","ppk_delta_t30_riff","ppk_delta_t60","ppk_delta_t60","ppk_delta_t60","ppk_delta_t60_riff","ppk_delta_t60_riff","ppk_delta_t60_riff"
"b0001",3.18274239047362e-06,3.35105094112977e-06,2.07726895219049e-06,2.9302020635948e-06,3.12477377939826e-06,1.06034418772333e-06,1.09813039639579e-06,5.16018694620137e-06,8.43773340880042e-07,2.15018898010946e-06,1.99372640757084e-06,2.76815076456324e-06,1.91616582882316e-06,0,1.03486030420753e-06,4.81682903729049e-06,4.97409562059304e-06,2.82966634775279e-06,3.30755425546623e-07,1.45390045143609e-06,0,3.68097286313186e-06,5.98118717261307e-06,7.36389225889236e-06,4.52834511967228e-06,0,4.0644374178681e-06,7.95051809551169e-07,1.45741576865565e-06,6.51686989525435e-07,3.16639676575974e-06,0,5.24745305460183e-06,1.39911710622898e-06,0,0,2.46541789141437e-06,1.02095614584971e-05,3.29773747917308e-06,0,0,0
"b0002",0.00118613622055296,0.00149534203919183,0.00105784921390301,0.00113555794971669,0.00122699450404372,0.00111990018626713,0.000654485716251891,0.00126498297138308,0.000613760728156143,0.000172875194000801,0.00202097400180765,0.00107311977972902,0.000410634337116803,0.00072130393719246,0.000351852503430562,0.00130074454127832,0.0020450638851524,0.00122493112120499,0.000241616838361808,0.000383345085695316,0.000200742083063566,0.00223091495324878,0.00349035500339598,0.00187160016207257,0.00218481331161388,0.000943121126701362,0.00193951494484991,0.000846465159902145,0.00106828575842459,0.000621383544512502,0.00226562572061339,0.00157025207557256,0.00169225410583499,0.000147034488618246,0.000164641734742796,0.000135973392726511,0.00204568049540107,0.00143342242877299,0.0017663364228964,5.79295254325282e-05,4.78446007368068e-05,6.51518650033387e-05
"b0003",0.000364064661826434,0.000545190210806881,0.000377803290679645,0.000359891603453662,0.000329663633726517,0.00040787906421091,0.000327974945056876,0.000710631459448302,0.000328396584270512,6.19254426271525e-05,0.000735685044393641,0.000370932202451474,0.000201580645192196,0.000485076897761929,0.000197658318103639,0.000395180682267707,0.000797276469472199,0.000425550377964822,0.000169677533305418,0.000273333284869985,0.000137206239297816,0.000717298911928961,0.00144877644847739,0.000606851666607811,0.000766082785620557,0.000415078378882493,0.000571961469825098,0.000405873948775872,0.000511552934798133,0.000256764673873021,0.000714641983089514,0.000576315921353758,0.000507418809525177,7.27540895239072e-05,3.87392317041872e-05,4.62309535270138e-05,0.000838858437553738,0.000581945003134335,0.000536507773335814,2.56649796220062e-05,5.98057509210086e-06,2.82075124343957e-05
"b0004",0.000261806228893798,0.000270404033634241,0.000210063822790263,0.000237241717077479,0.000193215178692793,0.000202879187917731,0.000238660339483352,0.00033320064281186,0.000182592550966441,3.82733638459484e-05,0.000365516508054655,0.000189156968911821,0.000149269318065324,0.00025065311817438,0.000132979549090668,0.000237830933716218,0.000355292544328074,0.000239421213757083,0.000102038048781133,0.000139089809854053,9.00415945391917e-05,0.000460857802464109,0.000548607778999121,0.000346270297355643,0.000392381104619603,0.000162878857536168,0.000367961302404867,0.00026886002026322,0.000240473601828182,0.000183124044056647,0.000412870604370151,0.000283981758348228,0.000309104687480508,6.52497341359517e-05,0.000106532887186515,3.26336142543627e-05,0.000359334657673644,0.000191939755419746,0.000287358021030013,2.56649796220062e-05,3.58834505526051e-05,2.24661603459789e-05
"b0005",1.12936020307128e-06,2.57773149317674e-07,6.49146547559527e-07,5.23250368499072e-07,2.60397814949855e-06,1.76724031287222e-07,3.66043465465263e-07,0,1.01252800905605e-06,8.60075592043785e-07,6.64575469190281e-07,1.84543384304216e-06,5.74849748646947e-07,0,1.03486030420753e-06,6.02103629661311e-07,2.13175526596845e-06,6.28814743945064e-07,1.15764398941318e-06,0,0,1.55418854221123e-06,3.32288176256282e-07,2.67777900323359e-06,2.15096393184433e-06,2.62707834735755e-06,2.50784436421649e-06,2.25264679372831e-06,7.28707884327825e-06,3.25843494762718e-07,1.3766942459825e-06,0,1.98017096400069e-06,0,0,0,0,8.16764916679769e-06,1.59201119684218e-06,0,0,7.48872011532629e-07
"b0006",2.3716564264497e-05,1.83018936015549e-05,2.24604705455596e-05,2.08253646662631e-05,2.60397814949855e-05,1.97930915041689e-05,1.64719559459368e-05,1.4006221711118e-05,1.18128267723206e-05,5.16045355226271e-06,1.99372640757084e-05,1.93770553519427e-05,9.77244572699811e-06,1.12703740186322e-05,4.13944121683014e-06,2.56897548655493e-05,1.70540421277476e-05,1.7135201772503e-05,3.30755425546623e-06,2.90780090287218e-06,1.94895226275307e-06,2.93659835080964e-05,3.92100047982413e-05,2.46020945922086e-05,2.2868142854345e-05,1.83895484315029e-05,2.89699262762939e-05,1.4973475746547e-05,1.45741576865565e-05,1.59663312433732e-05,2.25777856341129e-05,5.84668326011059e-05,2.90095046226101e-05,5.34208349651067e-06,4.8424039630234e-06,2.71946785453023e-06,2.21887610227293e-05,2.24610352086936e-05,2.51310338930087e-05,1.8332128301433e-06,0,3.49473605381894e-06
"b0007",1.8480439686621e-05,2.24262639906377e-05,2.12920067599525e-05,1.71626120867696e-05,1.9790233936189e-05,2.0676711660605e-05,9.88317356756211e-06,1.91664086573194e-05,1.51879201358408e-05,1.72015118408757e-06,2.1266415014089e-05,2.86042245671535e-05,1.14969949729389e-05,1.12703740186322e-05,4.13944121683014e-06,1.76617064700651e-05,1.70540421277476e-05,1.58775722846129e-05,6.61510851093246e-06,8.23876922480451e-06,8.96518040866411e-06,1.7341472155199e-05,1.79435615178392e-05,1.74055635210183e-05,1.87926322466399e-05,5.25415669471511e-06,1.80737749007326e-05,1.09982166987912e-05,1.74889892238678e-05,1.10786788219324e-05,1.47306284320127e-05,1.67048093146017e-05,2.02967523810071e-05,3.56138899767378e-06,4.8424039630234e-06,1.08778714181209e-05,1.84906341856078e-05,2.04191229169942e-05,1.7057262823309e-05,3.6664256602866e-06,5.98057509210086e-06,3.49473605381894e-06
"b0008",0.000172689441960536,0.000181987843418278,0.000141384118058465,0.000159800662539617,0.000130719703104827,0.000125474062213928,0.000151541994702619,0.000199035782210624,0.000122347134427606,2.70923811493792e-05,0.000206682970918177,0.000133793953620557,0.000102323255259157,0.00010909722050036,6.6748489621386e-05,0.000178021973169861,0.000220281377483406,0.000155474445440417,4.8290292129807e-05,4.8947981865015e-05,2.9234283941296e-05,0.000341430682904719,0.000378808520932161,0.000288028604035313,0.000295814144942591,0.000136608074062593,0.000356719241461828,0.000246598569595788,0.000278366411813229,0.000204303871216224,0.000320219081615529,0.000334096186292033,0.000354846636748924,8.08944072328758e-05,8.23208673713979e-05,3.80725499634232e-05,0.000226818446010122,0.000189897843128046,0.000309646177785804,4.03306822631526e-05,3.58834505526051e-05,3.24511204997473e-05
"b0009",1.51950281867773e-05,1.00531528233893e-05,1.03863447609524e-05,1.27673089913774e-05,1.40614820072922e-05,5.12499690732945e-06,9.15108663663158e-06,6.63452607368747e-06,3.88135736804819e-06,2.15018898010946e-06,9.30405656866394e-06,8.30445229368972e-06,4.40718140629326e-06,3.6065196859623e-06,7.76145228155651e-06,1.7461005260178e-05,2.06069675710283e-05,1.21046838209425e-05,1.4883994149598e-06,1.45390045143609e-06,1.16937135765184e-06,2.15950407970402e-05,2.02695787516332e-05,1.55645904562952e-05,2.08303875504925e-05,5.25415669471511e-06,1.7814342725124e-05,7.8180094605865e-06,8.7444946119339e-06,1.23820528009833e-05,1.50059672812092e-05,0,1.82175728688063e-05,5.0876985681054e-06,0,5.43893570906045e-06,7.3962536742431e-06,2.04191229169942e-05,1.63749723103767e-05,2.56649796220062e-06,1.19611501842017e-05,4.74285607303998e-06
"b0010",3.14167474672557e-05,3.89237455469688e-05,3.34959618540716e-05,3.43252241735391e-05,4.99963804703722e-05,3.42844620697212e-05,3.62383030810611e-05,4.12814955696109e-05,3.9488592353186e-05,6.02052914430649e-06,4.2532830028178e-05,3.13723753317167e-05,4.08143321539333e-05,4.5532311035274e-05,3.7772401103575e-05,3.2914998421485e-05,3.26869140781828e-05,3.44276072309923e-05,3.60523413845819e-05,5.28250497355113e-05,4.1317787970365e-05,3.12473696381416e-05,4.48589037945981e-05,3.94972402976954e-05,3.11323726977469e-05,1.83895484315029e-05,4.09902837461591e-05,3.00794601280192e-05,2.47760680671461e-05,2.15056706543394e-05,3.60693892447414e-05,3.34096186292033e-05,3.75242397678131e-05,1.95876394872058e-05,0,5.43893570906045e-06,3.45158504798011e-05,9.1886053126474e-05,3.9572849750077e-05,1.64989154712897e-05,2.39223003684034e-05,2.6210520403642e-05
