sample,cfu
wt_t00,5.47
wt_t00.1,5.63
wt_t00.2,5.51
wt_t10,5.47
wt_t10.1,5.63
wt_t10.2,5.51
wt_t10_riff,5.47
wt_t10_riff.1,5.63
wt_t10_riff.2,5.51
wt_t30,5.47
wt_t30.1,5.63
wt_t30.2,5.51
wt_t30_riff,5.47
wt_t30_riff.1,5.63
wt_t30_riff.2,5.51
wt_t60,5.47
wt_t60.1,5.63
wt_t60.2,5.51
wt_t60_riff,5.47
wt_t60_riff.1,5.63
wt_t60_riff.2,5.51
ppk_delta_t00,2.34
ppk_delta_t00.1,1.39
ppk_delta_t00.2,1.92
ppk_delta_t10,2.34
ppk_delta_t10.1,1.39
ppk_delta_t10.2,1.92
ppk_delta_t10_riff,2.34
ppk_delta_t10_riff.1,1.39
ppk_delta_t10_riff.2,1.92
ppk_delta_t30,2.34
ppk_delta_t30.1,1.39
ppk_delta_t30.2,1.92
ppk_delta_t30_riff,2.34
ppk_delta_t30_riff.1,1.39
ppk_delta_t30_riff.2,1.92
ppk_delta_t60,2.34
ppk_delta_t60.1,1.39
ppk_delta_t60.2,1.92
ppk_delta_t60_riff,2.34
ppk_delta_t60_riff.1,1.39
ppk_delta_t60_riff.2,1.92
